"","KID","m_ed","f_ed","Race","num_0_5","FID","MID","age","all_prices","mar_stable","single_stable","LW97","AP97","LW02","AP02","ln_wageFE_m","N_FE_m","ln_wageFEst_m","ln_wageFE_f","N_FE_f","ln_wageFEst_f","ltau_m97","ltau_f97","ltau_m02","ltau_f02"
"1",4038,"12",NA,1,0,NA,4007,10,FALSE,FALSE,TRUE,NA,NA,NA,NA,-0.12568857,14,1.51922,NA,NA,NA,2.9704144655697,NA,NA,NA
"2",7045,"12","<12",1,1,7031,7175,5,FALSE,TRUE,FALSE,88,103,78,79,-0.13438772,1,1.2540295,-0.11835919,3,1.3502319,3.16054024785524,2.86220088092947,2.13021386705326,1.09861228866811
"3",10033,"12",NA,2,0,NA,10177,7,FALSE,FALSE,TRUE,95,97,NA,NA,0.1825074,8,1.3930882,NA,NA,NA,3.88156379794344,NA,NA,NA
"4",14032,"13-15",">16",1,2,14173,14003,5,TRUE,TRUE,FALSE,113,127,108,103,-0.035495415,18,1.4907892,0.43663788,11,1.8669125,3.71153747800652,2.02595285672885,3.32022831912849,3.34403896782221
"5",14033,"13-15",">16",1,2,14173,14003,3,TRUE,TRUE,FALSE,NA,NA,105,120,-0.035495415,18,1.4907892,0.43663788,11,1.8669125,3.71762886739992,2.31088389580874,3.39282913199164,3.27399512408928
"6",16033,"13-15","12",1,1,16172,16004,3,TRUE,TRUE,FALSE,NA,NA,NA,NA,0.26494458,17,1.7912291,-0.35118228,16,1.0790925,NA,NA,NA,NA
"7",18041,"13-15","12",1,2,18035,18185,2,FALSE,TRUE,FALSE,NA,NA,NA,NA,0.98576117,4,2.5360026,0.22915788,7,1.9274871,3.61765194482557,3.41224721784874,3.08343785397309,3.23867845216438
"8",22030,"13-15","12",2,0,22174,22003,9,FALSE,TRUE,FALSE,116,106,100,87,-0.2586517,18,1.1788837,-0.4945455,9,1.0025932,3.59685553530076,2.81939278843759,3.68051120444342,NA
"9",22031,"13-15",NA,2,0,NA,22173,8,TRUE,FALSE,TRUE,NA,NA,115,120,0.3864142,12,1.8239496,NA,NA,NA,NA,NA,3.95603989084492,NA
"10",40035,"12","12",1,0,40174,40004,11,FALSE,TRUE,FALSE,86,93,90,97,-0.3359006,13,1.173131,-0.15601079,5,1.3003224,NA,3.00320428839269,NA,NA
"11",45033,"12",NA,1,1,NA,45031,4,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11351530921037,NA,NA
"12",47035,"16","12",1,1,47174,47031,9,TRUE,TRUE,FALSE,NA,NA,NA,NA,0.69596976,9,2.2585123,-0.27681336,9,1.2816541,2.62708113856854,2.62708113856854,2.62103882411258,2.26868354131836
"13",47039,"16","12",1,1,47174,47031,1,TRUE,TRUE,FALSE,NA,NA,NA,NA,0.69596976,9,2.2585123,-0.27681336,9,1.2816541,4.32302829391193,3.30810695859614,3.44998754583159,3.49650756146648
"14",47040,"16",">16",1,1,47176,47032,0,TRUE,TRUE,FALSE,NA,NA,NA,NA,0.4495642,7,2.0121067,0.81480116,6,2.3732686,3.99972858584725,3.2121868367174,3.64196253432619,2.97892515523761
"15",50032,"16","12",1,0,50003,50171,8,TRUE,TRUE,FALSE,141,128,128,111,0.2790477,15,1.6045692,-0.3232065,14,1.0748569,2.46385324059017,0.22314355131421,2.39789527279837,-0.875468737353899
"16",50033,"16","12",1,0,50003,50171,6,TRUE,TRUE,FALSE,105,116,109,98,0.2790477,15,1.6045692,-0.3232065,14,1.0748569,2.58399755243223,NA,2.49182709263257,0.287682072451778
"17",50034,"16",">16",1,2,50170,50005,4,FALSE,TRUE,FALSE,105,97,96,90,0.6633565,18,2.167334,0.9724746,15,2.4027493,3.16195267746858,2.42480272571829,3.63495111208838,2.73976417659174
"18",50035,"16",">16",1,2,50170,50005,2,FALSE,TRUE,FALSE,NA,NA,106,56,0.6633565,18,2.167334,0.9724746,15,2.4027493,3.03895139267397,2.63667353825998,2.66722820658195,3.26065735888316
"19",53036,"12","13-15",1,0,53173,53004,11,TRUE,TRUE,FALSE,123,97,105,94,-0.5120463,16,0.8449741,-0.26334944,18,1.1851119,2.53897387105828,4.06760123724659,2.15948424935337,0.405465108108164
"20",61034,">16","16",1,1,61171,61005,4,TRUE,TRUE,FALSE,90,65,139,117,0.39391732,18,1.7528107,0.26619828,16,1.8430848,3.70949874131667,2.9400433676934,1.87180217690159,1.57553636075842
"21",68030,"13-15","13-15",7,1,68003,68175,4,FALSE,TRUE,FALSE,106,106,107,97,0.39211816,13,1.9184027,0.39650223,13,1.826777,3.5433718704427,3.16406758837321,3.04054628934379,3.28028445299684
"22",89034,"12","12",1,0,89170,89003,10,TRUE,TRUE,FALSE,109,117,121,115,0.0777776,18,1.4420336,-1.0387951,11,0.5380915,2.2353763433006,2.4188855486902,2.49732916978656,0.641853886172395
"23",89035,"13-15","12",1,1,89179,89031,1,TRUE,TRUE,FALSE,NA,NA,95,102,0.6278861,4,2.0597692,0.30513325,6,1.8757194,3.99206571310168,3.2419410977992,2.92673940206704,2.73544917529033
