"","KID","MID","year","FID","mar_stable","single_stable","all_prices","StFIPS","mar_ind","m_wage","f_wage","m_earn","house_earn","num_0_5","num_0_12","m_ed","f_ed","Race","price_g","p_4c","p_ic","p_4f","p_if","all","age","log_good","log_chcare","log_mtime","log_ftime","prob_work_m","prob_work_f","prob_work_mf","lY","price_missing","good_missing","mtime_missing","chcare_missing","ftime_missing"
"1",4038,4007,1997,NA,FALSE,TRUE,FALSE,47,FALSE,14.71,NA,30000,NA,0,1,"12",NA,1,0.909181294969573,1.45027400932401,1.64223892773893,1.31106818181818,1.45592051282051,0.850891293261864,10,NA,NA,5.658942,NA,0.8555261,NA,NA,2.68852753461335,FALSE,TRUE,FALSE,TRUE,TRUE
"2",4038,4007,1998,NA,FALSE,TRUE,FALSE,47,FALSE,13.0718954248366,NA,30000,NA,0,1,"12",NA,1,0.913000899935813,1.55411002331002,1.75537226107226,1.38482196969697,1.54682791375291,0.861826224649967,NA,NA,NA,NA,NA,NA,NA,NA,2.57046453814965,TRUE,TRUE,TRUE,TRUE,TRUE
"3",4038,4007,1999,NA,FALSE,TRUE,FALSE,47,FALSE,20,NA,35000,NA,0,1,"12",NA,1,0.928838544895012,1.71421445221445,1.97336375291375,1.50498496503497,1.67270687645688,0.878409364399693,NA,NA,NA,NA,NA,NA,NA,NA,2.99573227355399,TRUE,TRUE,TRUE,TRUE,TRUE
"4",4038,4007,2000,NA,FALSE,TRUE,FALSE,47,FALSE,23.2558139534884,NA,50000,NA,0,0,"12",NA,1,0.96067533419041,1.85977389277389,2.16425017482517,1.61315151515152,1.78954592074592,0.906560034874025,NA,NA,NA,NA,NA,NA,NA,NA,3.14655516328858,TRUE,TRUE,TRUE,TRUE,TRUE
"5",4038,4007,2001,NA,FALSE,TRUE,FALSE,47,FALSE,NA,NA,NA,NA,0,0,"12",NA,1,0.978087883405516,1.99027121212121,2.3270675990676,1.7088951048951,1.8970236013986,0.927978040981302,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"6",4038,4007,2002,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"7",7045,7175,1997,7031,TRUE,FALSE,FALSE,39,TRUE,NA,NA,0,NA,1,1,"12","<12",1,0.894849147405482,2.0643446969697,2.5285034965035,2.10142435897436,2.3381425990676,0.858547887907643,5,NA,NA,NA,NA,0.6590616,0.9068229,0.595301,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"8",7045,7175,1998,7031,TRUE,FALSE,FALSE,39,TRUE,NA,NA,NA,NA,1,2,"12","<12",1,0.901923402839947,2.20382552447552,2.70806177156177,2.20457733100233,2.45120372960373,0.872564809923578,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"9",7045,7175,1999,7031,TRUE,FALSE,FALSE,39,TRUE,NA,8,0,8,1,2,"12","<12",1,0.918797156029952,2.35620996503497,2.91166724941725,2.31837301864802,2.57228438228438,0.891467108668195,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"10",7045,7175,2000,7031,TRUE,FALSE,FALSE,39,TRUE,NA,8.96987727779844,0,24120,1,2,"12","<12",1,0.949968547587312,2.48478362470863,3.07089953379953,2.41252995337995,2.67856666666667,0.922149100833369,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
