MID,cluster,center,mu_k
4179,2,1.963346960183107,1.7090170098027229
4036,3,2.4329903097861343,2.2533367196108953
5170,2,1.963346960183107,2.060806896672886
5172,2,1.963346960183107,1.8862927322195946
6172,2,1.963346960183107,1.7090170098027229
7175,1,1.4731823294789184,1.2538414823813135
10006,2,1.963346960183107,1.7090170098027229
14172,2,1.963346960183107,2.060806896672886
14003,3,2.4329903097861343,2.060806896672886
16004,3,2.4329903097861343,2.2533367196108953
18185,3,2.4329903097861343,2.480333387327067
18031,3,2.4329903097861343,2.2533367196108953
18170,3,2.4329903097861343,2.2533367196108953
22175,3,2.4329903097861343,2.7606107822662413
22003,2,1.963346960183107,1.8862927322195946
39174,1,1.4731823294789184,1.7090170098027229
40030,2,1.963346960183107,1.7090170098027229
45030,2,1.963346960183107,1.8862927322195946
47004,1,1.4731823294789184,1.2538414823813135
47031,3,2.4329903097861343,2.2533367196108953
47032,2,1.963346960183107,1.7090170098027229
47173,2,1.963346960183107,1.8862927322195946
50171,2,1.963346960183107,1.8862927322195946
50005,3,2.4329903097861343,2.2533367196108953
53170,1,1.4731823294789184,1.4986576697924814
53191,2,1.963346960183107,1.7090170098027229
53004,2,1.963346960183107,1.7090170098027229
53006,2,1.963346960183107,1.7090170098027229
60032,2,1.963346960183107,1.8862927322195946
61172,1,1.4731823294789184,0.8495520820177646
61005,2,1.963346960183107,1.8862927322195946
68175,2,1.963346960183107,2.060806896672886
79003,2,1.963346960183107,1.8862927322195946
84172,2,1.963346960183107,1.8862927322195946
84177,1,1.4731823294789184,1.2538414823813135
89003,3,2.4329903097861343,2.480333387327067
89031,3,2.4329903097861343,2.2533367196108953
90171,2,1.963346960183107,2.060806896672886
90003,2,1.963346960183107,2.060806896672886
91003,2,1.963346960183107,1.8862927322195946
96003,2,1.963346960183107,1.8862927322195946
96005,3,2.4329903097861343,2.2533367196108953
99171,1,1.4731823294789184,1.2538414823813135
105004,2,1.963346960183107,2.060806896672886
106173,2,1.963346960183107,1.7090170098027229
114173,1,1.4731823294789184,1.7090170098027229
114170,2,1.963346960183107,1.8862927322195946
117030,1,1.4731823294789184,1.4986576697924814
121170,2,1.963346960183107,1.8862927322195946
121007,1,1.4731823294789184,1.2538414823813135
122170,2,1.963346960183107,1.8862927322195946
122173,3,2.4329903097861343,2.7606107822662413
128172,3,2.4329903097861343,2.2533367196108953
134171,1,1.4731823294789184,1.2538414823813135
145003,1,1.4731823294789184,1.2538414823813135
165004,2,1.963346960183107,1.7090170098027229
166170,1,1.4731823294789184,1.4986576697924814
172034,2,1.963346960183107,2.060806896672886
173005,2,1.963346960183107,1.8862927322195946
173003,1,1.4731823294789184,1.4986576697924814
174171,1,1.4731823294789184,1.2538414823813135
174006,1,1.4731823294789184,1.4986576697924814
174008,2,1.963346960183107,1.8862927322195946
178171,2,1.963346960183107,1.7090170098027229
180171,2,1.963346960183107,1.7090170098027229
181171,2,1.963346960183107,2.060806896672886
189004,3,2.4329903097861343,2.480333387327067
200175,3,2.4329903097861343,2.2533367196108953
200170,1,1.4731823294789184,1.4986576697924814
203005,3,2.4329903097861343,2.2533367196108953
220170,3,2.4329903097861343,2.060806896672886
221171,1,1.4731823294789184,1.7090170098027229
228172,3,2.4329903097861343,2.2533367196108953
236003,3,2.4329903097861343,2.2533367196108953
246003,2,1.963346960183107,1.8862927322195946
250003,1,1.4731823294789184,1.4986576697924814
257030,3,2.4329903097861343,2.480333387327067
257174,3,2.4329903097861343,2.7606107822662413
263031,2,1.963346960183107,1.8862927322195946
266030,2,1.963346960183107,1.8862927322195946
277176,2,1.963346960183107,1.8862927322195946
280172,1,1.4731823294789184,1.4986576697924814
284170,3,2.4329903097861343,2.060806896672886
308003,2,1.963346960183107,2.060806896672886
311003,2,1.963346960183107,1.8862927322195946
315170,3,2.4329903097861343,2.2533367196108953
319005,3,2.4329903097861343,2.2533367196108953
321004,2,1.963346960183107,2.060806896672886
321005,2,1.963346960183107,1.8862927322195946
323173,2,1.963346960183107,2.060806896672886
323004,2,1.963346960183107,2.060806896672886
327172,2,1.963346960183107,1.7090170098027229
343171,2,1.963346960183107,1.7090170098027229
344178,3,2.4329903097861343,2.2533367196108953
344006,3,2.4329903097861343,2.2533367196108953
350003,1,1.4731823294789184,1.2538414823813135
351173,2,1.963346960183107,1.7090170098027229
351006,2,1.963346960183107,1.8862927322195946
354171,2,1.963346960183107,2.060806896672886
355171,2,1.963346960183107,2.060806896672886
355003,3,2.4329903097861343,2.480333387327067
356177,2,1.963346960183107,1.8862927322195946
356003,2,1.963346960183107,1.7090170098027229
374005,2,1.963346960183107,1.8862927322195946
377004,3,2.4329903097861343,2.7606107822662413
391003,3,2.4329903097861343,2.060806896672886
404174,2,1.963346960183107,2.060806896672886
409174,1,1.4731823294789184,1.7090170098027229
409030,3,2.4329903097861343,2.480333387327067
414005,2,1.963346960183107,1.7090170098027229
419173,1,1.4731823294789184,1.4986576697924814
428170,1,1.4731823294789184,1.2538414823813135
432031,3,2.4329903097861343,2.2533367196108953
433175,1,1.4731823294789184,1.2538414823813135
452177,2,1.963346960183107,1.8862927322195946
452030,1,1.4731823294789184,1.4986576697924814
455003,2,1.963346960183107,1.8862927322195946
455030,2,1.963346960183107,2.060806896672886
459170,3,2.4329903097861343,2.2533367196108953
465030,3,2.4329903097861343,2.2533367196108953
473177,1,1.4731823294789184,1.4986576697924814
473004,2,1.963346960183107,1.7090170098027229
478036,2,1.963346960183107,2.060806896672886
479170,3,2.4329903097861343,2.060806896672886
486170,1,1.4731823294789184,1.2538414823813135
486171,2,1.963346960183107,2.060806896672886
487170,1,1.4731823294789184,0.8495520820177646
490172,3,2.4329903097861343,2.7606107822662413
495173,2,1.963346960183107,1.7090170098027229
495030,2,1.963346960183107,1.8862927322195946
495033,2,1.963346960183107,2.060806896672886
496185,2,1.963346960183107,2.060806896672886
496180,1,1.4731823294789184,1.2538414823813135
508175,3,2.4329903097861343,2.2533367196108953
508004,3,2.4329903097861343,2.2533367196108953
510030,1,1.4731823294789184,1.4986576697924814
512002,3,2.4329903097861343,2.2533367196108953
517004,3,2.4329903097861343,2.060806896672886
517005,3,2.4329903097861343,2.2533367196108953
517006,1,1.4731823294789184,1.4986576697924814
534031,1,1.4731823294789184,1.2538414823813135
544170,2,1.963346960183107,1.7090170098027229
548183,1,1.4731823294789184,0.8495520820177646
548175,2,1.963346960183107,2.060806896672886
548182,2,1.963346960183107,2.060806896672886
548176,2,1.963346960183107,2.060806896672886
556174,3,2.4329903097861343,2.2533367196108953
556177,2,1.963346960183107,1.8862927322195946
557030,3,2.4329903097861343,2.2533367196108953
563183,3,2.4329903097861343,2.2533367196108953
563040,2,1.963346960183107,2.060806896672886
565004,1,1.4731823294789184,1.4986576697924814
570008,2,1.963346960183107,1.8862927322195946
573004,2,1.963346960183107,1.7090170098027229
577004,3,2.4329903097861343,2.2533367196108953
582173,1,1.4731823294789184,1.4986576697924814
582174,2,1.963346960183107,1.8862927322195946
593170,3,2.4329903097861343,2.2533367196108953
593004,3,2.4329903097861343,2.7606107822662413
597176,1,1.4731823294789184,1.4986576697924814
597178,2,1.963346960183107,1.8862927322195946
605003,3,2.4329903097861343,2.060806896672886
608008,2,1.963346960183107,1.7090170098027229
610173,3,2.4329903097861343,2.2533367196108953
620004,2,1.963346960183107,1.8862927322195946
620006,3,2.4329903097861343,2.7606107822662413
624003,1,1.4731823294789184,1.4986576697924814
625172,3,2.4329903097861343,2.2533367196108953
625005,1,1.4731823294789184,1.4986576697924814
626188,3,2.4329903097861343,2.480333387327067
626003,2,1.963346960183107,2.060806896672886
626034,1,1.4731823294789184,1.4986576697924814
630171,3,2.4329903097861343,2.2533367196108953
631004,2,1.963346960183107,1.8862927322195946
632173,1,1.4731823294789184,1.4986576697924814
633030,2,1.963346960183107,2.060806896672886
634006,2,1.963346960183107,2.060806896672886
634007,1,1.4731823294789184,1.2538414823813135
636170,2,1.963346960183107,1.8862927322195946
639175,2,1.963346960183107,1.7090170098027229
644170,2,1.963346960183107,1.8862927322195946
649030,2,1.963346960183107,1.7090170098027229
650172,3,2.4329903097861343,2.2533367196108953
652171,2,1.963346960183107,1.8862927322195946
652173,2,1.963346960183107,2.060806896672886
652003,1,1.4731823294789184,1.7090170098027229
